season,position,team_id,team_name,points,played,wins,draws,losses,gf,ga,gd
2022,1,121,Palmeiras,81,38,23,12,3,66,27,39
2022,2,119,Internacional,73,38,20,13,5,58,31,27
2022,3,124,Fluminense,70,38,21,7,10,63,41,22
2022,4,131,Corinthians,65,38,18,11,9,44,36,8
2022,5,127,Flamengo,62,38,18,8,12,60,39,21
2022,6,134,Atletico Paranaense,58,38,16,10,12,48,48,0
2022,7,1062,Atletico-MG,58,38,15,13,10,45,37,8
2022,8,154,Fortaleza EC,55,38,15,10,13,46,39,7
2022,9,126,Sao Paulo,54,38,13,15,10,55,42,13
2022,10,125,America Mineiro,53,38,15,8,15,40,40,0
2022,11,120,Botafogo,53,38,15,8,15,41,43,-2
2022,12,128,Santos,47,38,12,11,15,44,41,3
2022,13,151,Goias,46,38,11,13,14,40,53,-13
2022,14,794,RB Bragantino,44,38,11,11,16,49,59,-10
2022,15,147,Coritiba,42,38,12,6,20,39,60,-21
2022,16,1193,Cuiaba,41,38,10,11,17,31,42,-11
2022,17,129,Ceara,37,38,7,16,15,34,41,-7
2022,18,144,Atletico Goianiense,36,38,8,12,18,39,57,-18
2022,19,145,Avai,35,38,9,8,21,34,60,-26
2022,20,152,Juventude,22,38,3,13,22,29,69,-40
2023,1,121,Palmeiras,70,38,20,10,8,64,33,31
2023,2,130,Gremio,68,38,21,5,12,63,56,7
2023,3,1062,Atletico-MG,66,38,19,9,10,52,32,20
2023,4,127,Flamengo,66,38,19,9,10,56,42,14
2023,5,120,Botafogo,64,38,18,10,10,58,37,21
2023,6,794,RB Bragantino,62,38,17,11,10,49,35,14
2023,7,124,Fluminense,56,38,16,8,14,51,47,4
2023,8,134,Atletico Paranaense,56,38,14,14,10,51,43,8
2023,9,119,Internacional,55,38,15,10,13,46,45,1
2023,10,154,Fortaleza EC,54,38,15,9,14,45,44,1
2023,11,126,Sao Paulo,53,38,14,11,13,40,38,2
2023,12,1193,Cuiaba,51,38,14,9,15,40,39,1
2023,13,131,Corinthians,50,38,12,14,12,47,48,-1
2023,14,135,Cruzeiro,47,38,11,14,13,35,32,3
2023,15,133,Vasco DA Gama,45,38,12,9,17,41,51,-10
2023,16,118,Bahia,44,38,12,8,18,50,53,-3
2023,17,128,Santos,43,38,11,10,17,39,64,-25
2023,18,151,Goias,38,38,9,11,18,36,53,-17
2023,19,147,Coritiba,30,38,8,6,24,41,73,-32
2023,20,125,America Mineiro,24,38,5,9,24,42,81,-39
2024,1,120,Botafogo,79,38,23,10,5,59,29,30
2024,2,121,Palmeiras,73,38,22,7,9,60,33,27
2024,3,127,Flamengo,70,38,20,10,8,61,42,19
2024,4,154,Fortaleza EC,68,38,19,11,8,53,39,14
2024,5,119,Internacional,65,38,18,11,9,53,36,17
2024,6,126,Sao Paulo,59,38,17,8,13,53,43,10
2024,7,131,Corinthians,56,38,15,11,12,54,45,9
2024,8,118,Bahia,53,38,15,8,15,49,49,0
2024,9,135,Cruzeiro,52,38,14,10,14,43,41,2
2024,10,133,Vasco DA Gama,50,38,14,8,16,43,56,-13
2024,11,136,Vitoria,47,38,13,8,17,45,52,-7
2024,12,1062,Atletico-MG,47,38,11,14,13,47,54,-7
2024,13,124,Fluminense,46,38,12,10,16,33,39,-6
2024,14,130,Gremio,45,38,12,9,17,44,50,-6
2024,15,152,Juventude,45,38,11,12,15,48,59,-11
2024,16,794,RB Bragantino,44,38,10,14,14,44,48,-4
2024,17,134,Atletico Paranaense,42,38,11,9,18,40,46,-6
2024,18,140,Criciuma,38,38,9,11,18,42,61,-19
2024,19,144,Atletico Goianiense,30,38,7,9,22,29,58,-29
2024,20,1193,Cuiaba,30,38,6,12,20,29,49,-20
