season,round,position,team_id,team_name,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
2022,Regular Season - 1,1,124,Fluminense,1,0,1,0,0,0,0,1
2022,Regular Season - 1,2,128,Santos,1,0,1,0,0,0,0,1
2022,Regular Season - 1,3,119,Internacional,0,0,0,0,0,0,0,0
2022,Regular Season - 1,4,120,Botafogo,0,0,0,0,0,0,0,0
2022,Regular Season - 1,5,121,Palmeiras,0,0,0,0,0,0,0,0
2022,Regular Season - 1,6,125,America Mineiro,0,0,0,0,0,0,0,0
2022,Regular Season - 1,7,126,Sao Paulo,0,0,0,0,0,0,0,0
2022,Regular Season - 1,8,127,Flamengo,0,0,0,0,0,0,0,0
2022,Regular Season - 1,9,129,Ceara,0,0,0,0,0,0,0,0
2022,Regular Season - 1,10,131,Corinthians,0,0,0,0,0,0,0,0
2022,Regular Season - 1,11,134,Atletico Paranaense,0,0,0,0,0,0,0,0
2022,Regular Season - 1,12,144,Atletico Goianiense,0,0,0,0,0,0,0,0
2022,Regular Season - 1,13,145,Avai,0,0,0,0,0,0,0,0
2022,Regular Season - 1,14,147,Coritiba,0,0,0,0,0,0,0,0
2022,Regular Season - 1,15,151,Goias,0,0,0,0,0,0,0,0
2022,Regular Season - 1,16,152,Juventude,0,0,0,0,0,0,0,0
2022,Regular Season - 1,17,154,Fortaleza EC,0,0,0,0,0,0,0,0
2022,Regular Season - 1,18,794,RB Bragantino,0,0,0,0,0,0,0,0
2022,Regular Season - 1,19,1062,Atletico-MG,0,0,0,0,0,0,0,0
2022,Regular Season - 1,20,1193,Cuiaba,0,0,0,0,0,0,0,0
2022,Regular Season - 2,1,126,Sao Paulo,1,1,0,0,4,0,4,3
2022,Regular Season - 2,2,147,Coritiba,1,1,0,0,3,0,3,3
2022,Regular Season - 2,3,131,Corinthians,1,1,0,0,3,1,2,3
2022,Regular Season - 2,4,1062,Atletico-MG,1,1,0,0,2,0,2,3
2022,Regular Season - 2,5,129,Ceara,1,1,0,0,3,2,1,3
2022,Regular Season - 2,6,145,Avai,1,1,0,0,1,0,1,3
2022,Regular Season - 2,7,1193,Cuiaba,1,1,0,0,1,0,1,3
2022,Regular Season - 2,8,124,Fluminense,1,0,1,0,0,0,0,1
2022,Regular Season - 2,9,127,Flamengo,1,0,1,0,1,1,0,1
2022,Regular Season - 2,10,128,Santos,1,0,1,0,0,0,0,1
2022,Regular Season - 2,11,144,Atletico Goianiense,1,0,1,0,1,1,0,1
2022,Regular Season - 2,12,152,Juventude,1,0,1,0,2,2,0,1
2022,Regular Season - 2,13,794,RB Bragantino,1,0,1,0,2,2,0,1
2022,Regular Season - 2,14,121,Palmeiras,2,0,1,1,3,4,-1,1
2022,Regular Season - 2,15,151,Goias,2,0,1,1,1,4,-3,1
2022,Regular Season - 2,16,125,America Mineiro,1,0,0,1,0,1,-1,0
2022,Regular Season - 2,17,154,Fortaleza EC,1,0,0,1,0,1,-1,0
2022,Regular Season - 2,18,119,Internacional,1,0,0,1,0,2,-2,0
2022,Regular Season - 2,19,120,Botafogo,1,0,0,1,1,3,-2,0
2022,Regular Season - 2,20,134,Atletico Paranaense,1,0,0,1,0,4,-4,0
2022,Regular Season - 3,1,131,Corinthians,2,2,0,0,6,1,5,6
2022,Regular Season - 3,2,1062,Atletico-MG,2,2,0,0,3,0,3,6
2022,Regular Season - 3,3,127,Flamengo,4,1,2,1,4,3,1,5
2022,Regular Season - 3,4,794,RB Bragantino,2,1,1,0,6,2,4,4
2022,Regular Season - 3,5,124,Fluminense,2,1,1,0,1,0,1,4
2022,Regular Season - 3,6,128,Santos,2,1,1,0,2,1,1,4
2022,Regular Season - 3,7,125,America Mineiro,2,1,0,1,4,2,2,3
2022,Regular Season - 3,8,126,Sao Paulo,2,1,0,1,5,3,2,3
2022,Regular Season - 3,9,147,Coritiba,2,1,0,1,4,2,2,3
2022,Regular Season - 3,10,120,Botafogo,2,1,0,1,4,4,0,3
2022,Regular Season - 3,11,1193,Cuiaba,2,1,0,1,1,1,0,3
2022,Regular Season - 3,12,119,Internacional,2,1,0,1,2,3,-1,3
2022,Regular Season - 3,13,129,Ceara,2,1,0,1,4,5,-1,3
2022,Regular Season - 3,14,145,Avai,2,1,0,1,1,3,-2,3
2022,Regular Season - 3,15,134,Atletico Paranaense,3,1,0,2,1,5,-4,3
2022,Regular Season - 3,16,121,Palmeiras,3,0,2,1,3,4,-1,2
2022,Regular Season - 3,17,151,Goias,2,0,1,1,1,4,-3,1
2022,Regular Season - 3,18,152,Juventude,2,0,1,1,3,6,-3,1
2022,Regular Season - 3,19,144,Atletico Goianiense,2,0,1,1,1,5,-4,1
2022,Regular Season - 3,20,154,Fortaleza EC,2,0,0,2,1,3,-2,0
2022,Regular Season - 4,1,131,Corinthians,2,2,0,0,6,1,5,6
2022,Regular Season - 4,2,1062,Atletico-MG,2,2,0,0,3,0,3,6
2022,Regular Season - 4,3,127,Flamengo,3,1,2,0,4,2,2,5
2022,Regular Season - 4,4,794,RB Bragantino,2,1,1,0,6,2,4,4
2022,Regular Season - 4,5,124,Fluminense,2,1,1,0,1,0,1,4
2022,Regular Season - 4,6,128,Santos,2,1,1,0,2,1,1,4
2022,Regular Season - 4,7,125,America Mineiro,2,1,0,1,4,2,2,3
2022,Regular Season - 4,8,126,Sao Paulo,2,1,0,1,5,3,2,3
2022,Regular Season - 4,9,147,Coritiba,2,1,0,1,4,2,2,3
2022,Regular Season - 4,10,120,Botafogo,2,1,0,1,4,4,0,3
2022,Regular Season - 4,11,1193,Cuiaba,2,1,0,1,1,1,0,3
2022,Regular Season - 4,12,119,Internacional,2,1,0,1,2,3,-1,3
2022,Regular Season - 4,13,129,Ceara,2,1,0,1,4,5,-1,3
2022,Regular Season - 4,14,145,Avai,2,1,0,1,1,3,-2,3
2022,Regular Season - 4,15,121,Palmeiras,3,0,2,1,3,4,-1,2
2022,Regular Season - 4,16,151,Goias,2,0,1,1,1,4,-3,1
2022,Regular Season - 4,17,152,Juventude,2,0,1,1,3,6,-3,1
2022,Regular Season - 4,18,144,Atletico Goianiense,2,0,1,1,1,5,-4,1
2022,Regular Season - 4,19,154,Fortaleza EC,2,0,0,2,1,3,-2,0
2022,Regular Season - 4,20,134,Atletico Paranaense,2,0,0,2,0,5,-5,0
2022,Regular Season - 5,1,131,Corinthians,4,3,0,1,7,4,3,9
2022,Regular Season - 5,2,125,America Mineiro,5,3,0,2,7,6,1,9
2022,Regular Season - 5,3,794,RB Bragantino,4,2,2,0,8,3,5,8
2022,Regular Season - 5,4,1062,Atletico-MG,5,2,2,1,8,6,2,8
2022,Regular Season - 5,5,126,Sao Paulo,4,2,1,1,8,5,3,7
2022,Regular Season - 5,6,128,Santos,4,2,1,1,6,3,3,7
2022,Regular Season - 5,7,147,Coritiba,4,2,1,1,9,6,3,7
2022,Regular Season - 5,8,1193,Cuiaba,4,2,1,1,3,2,1,7
2022,Regular Season - 5,9,119,Internacional,4,2,1,1,3,3,0,7
2022,Regular Season - 5,10,145,Avai,4,2,1,1,4,5,-1,7
2022,Regular Season - 5,11,121,Palmeiras,4,1,2,1,6,4,2,5
2022,Regular Season - 5,12,127,Flamengo,4,1,2,1,4,3,1,5
2022,Regular Season - 5,13,120,Botafogo,4,1,2,1,6,6,0,5
2022,Regular Season - 5,14,124,Fluminense,4,1,1,2,3,4,-1,4
2022,Regular Season - 5,15,129,Ceara,3,1,0,2,4,6,-2,3
2022,Regular Season - 5,16,144,Atletico Goianiense,4,0,3,1,3,7,-4,3
2022,Regular Season - 5,17,134,Atletico Paranaense,4,1,0,3,1,6,-5,3
2022,Regular Season - 5,18,151,Goias,4,0,2,2,5,9,-4,2
2022,Regular Season - 5,19,152,Juventude,4,0,2,2,4,8,-4,2
2022,Regular Season - 5,20,154,Fortaleza EC,3,0,0,3,1,4,-3,0
2022,Regular Season - 6,1,131,Corinthians,5,4,0,1,8,4,4,12
2022,Regular Season - 6,2,128,Santos,5,3,1,1,10,4,6,10
2022,Regular Season - 6,3,145,Avai,5,3,1,1,6,6,0,10
2022,Regular Season - 6,4,121,Palmeiras,6,2,3,1,9,5,4,9
2022,Regular Season - 6,5,794,RB Bragantino,7,2,3,2,9,7,2,9
2022,Regular Season - 6,6,1062,Atletico-MG,6,2,3,1,9,7,2,9
2022,Regular Season - 6,7,125,America Mineiro,5,3,0,2,7,6,1,9
2022,Regular Season - 6,8,126,Sao Paulo,5,2,2,1,9,6,3,8
2022,Regular Season - 6,9,120,Botafogo,5,2,2,1,7,6,1,8
2022,Regular Season - 6,10,119,Internacional,5,2,2,1,4,4,0,8
2022,Regular Season - 6,11,147,Coritiba,5,2,1,2,10,8,2,7
2022,Regular Season - 6,12,1193,Cuiaba,5,2,1,2,4,6,-2,7
2022,Regular Season - 6,13,134,Atletico Paranaense,5,2,0,3,2,6,-4,6
2022,Regular Season - 6,14,127,Flamengo,5,1,2,2,4,4,0,5
2022,Regular Season - 6,15,124,Fluminense,5,1,2,2,4,5,-1,5
2022,Regular Season - 6,16,151,Goias,5,1,2,2,6,9,-3,5
2022,Regular Season - 6,17,129,Ceara,4,1,0,3,4,7,-3,3
2022,Regular Season - 6,18,152,Juventude,5,0,3,2,5,9,-4,3
2022,Regular Season - 6,19,144,Atletico Goianiense,5,0,3,2,3,8,-5,3
2022,Regular Season - 6,20,154,Fortaleza EC,4,0,1,3,2,5,-3,1
2022,Regular Season - 7,1,131,Corinthians,5,4,0,1,8,4,4,12
2022,Regular Season - 7,2,128,Santos,5,3,1,1,10,4,6,10
2022,Regular Season - 7,3,145,Avai,5,3,1,1,6,6,0,10
2022,Regular Season - 7,4,794,RB Bragantino,6,2,3,1,9,5,4,9
2022,Regular Season - 7,5,1062,Atletico-MG,6,2,3,1,9,7,2,9
2022,Regular Season - 7,6,125,America Mineiro,5,3,0,2,7,6,1,9
2022,Regular Season - 7,7,126,Sao Paulo,5,2,2,1,9,6,3,8
2022,Regular Season - 7,8,120,Botafogo,5,2,2,1,7,6,1,8
2022,Regular Season - 7,9,119,Internacional,5,2,2,1,4,4,0,8
2022,Regular Season - 7,10,147,Coritiba,5,2,1,2,10,8,2,7
2022,Regular Season - 7,11,1193,Cuiaba,5,2,1,2,4,6,-2,7
2022,Regular Season - 7,12,121,Palmeiras,5,1,3,1,7,5,2,6
2022,Regular Season - 7,13,134,Atletico Paranaense,5,2,0,3,2,6,-4,6
2022,Regular Season - 7,14,127,Flamengo,5,1,2,2,4,4,0,5
2022,Regular Season - 7,15,124,Fluminense,5,1,2,2,4,5,-1,5
2022,Regular Season - 7,16,151,Goias,5,1,2,2,6,9,-3,5
2022,Regular Season - 7,17,129,Ceara,4,1,0,3,4,7,-3,3
2022,Regular Season - 7,18,152,Juventude,5,0,3,2,5,9,-4,3
2022,Regular Season - 7,19,144,Atletico Goianiense,5,0,3,2,3,8,-5,3
2022,Regular Season - 7,20,154,Fortaleza EC,4,0,1,3,2,5,-3,1
2022,Regular Season - 8,1,131,Corinthians,7,4,2,1,11,7,4,14
2022,Regular Season - 8,2,121,Palmeiras,7,3,3,1,12,5,7,12
2022,Regular Season - 8,3,126,Sao Paulo,7,3,3,1,12,8,4,12
2022,Regular Season - 8,4,1062,Atletico-MG,7,3,3,1,11,7,4,12
2022,Regular Season - 8,5,120,Botafogo,7,3,3,1,11,8,3,12
2022,Regular Season - 8,6,128,Santos,7,3,2,2,10,5,5,11
2022,Regular Season - 8,7,124,Fluminense,7,3,2,2,7,6,1,11
2022,Regular Season - 8,8,794,RB Bragantino,8,2,4,2,10,8,2,10
