season,fixture_id,round,date,status,home_team,home_goals,away_goals,away_team
2022,837992,Regular Season - 1,2022-04-09T19:30:00+00:00,FT,Fluminense,0,0,Santos
2022,837998,Regular Season - 1,2022-04-09T22:00:00+00:00,FT,Atletico Goianiense,1,1,Flamengo
2022,837994,Regular Season - 1,2022-04-10T00:00:00+00:00,FT,Palmeiras,2,3,Ceara
2022,838000,Regular Season - 1,2022-04-10T14:00:00+00:00,FT,Coritiba,3,0,Goias
2022,837995,Regular Season - 1,2022-04-10T19:00:00+00:00,FT,Botafogo,1,3,Corinthians
2022,837991,Regular Season - 1,2022-04-10T19:00:00+00:00,FT,Atletico-MG,2,0,Internacional
2022,837997,Regular Season - 1,2022-04-10T21:00:00+00:00,FT,Fortaleza EC,0,1,Cuiaba
2022,837993,Regular Season - 1,2022-04-10T22:00:00+00:00,FT,Sao Paulo,4,0,Atletico Paranaense
2022,837999,Regular Season - 1,2022-04-10T22:00:00+00:00,FT,Avai,1,0,America Mineiro
2022,837996,Regular Season - 1,2022-04-11T23:00:00+00:00,FT,Juventude,2,2,RB Bragantino
2022,838008,Regular Season - 2,2022-04-16T19:30:00+00:00,FT,Goias,1,1,Palmeiras
2022,838001,Regular Season - 2,2022-04-16T22:00:00+00:00,FT,America Mineiro,4,1,Juventude
2022,838004,Regular Season - 2,2022-04-16T22:00:00+00:00,FT,Corinthians,3,0,Avai
2022,838009,Regular Season - 2,2022-04-17T00:00:00+00:00,FT,Cuiaba,0,1,Fluminense
2022,838005,Regular Season - 2,2022-04-17T14:00:00+00:00,FT,Santos,2,1,Coritiba
2022,838002,Regular Season - 2,2022-04-17T19:00:00+00:00,FT,Flamengo,3,1,Sao Paulo
2022,838006,Regular Season - 2,2022-04-17T21:00:00+00:00,FT,Internacional,2,1,Fortaleza EC
2022,838010,Regular Season - 2,2022-04-17T21:00:00+00:00,FT,Atletico Paranaense,0,1,Atletico-MG
2022,838003,Regular Season - 2,2022-04-17T21:00:00+00:00,FT,RB Bragantino,4,0,Atletico Goianiense
2022,838007,Regular Season - 2,2022-04-17T22:00:00+00:00,FT,Ceara,1,3,Botafogo
2022,838022,Regular Season - 4,2022-04-20T22:30:00+00:00,FT,Flamengo,0,0,Palmeiras
2022,838020,Regular Season - 3,2022-04-23T19:30:00+00:00,FT,Atletico Paranaense,1,0,Flamengo
2022,838013,Regular Season - 3,2022-04-23T19:30:00+00:00,FT,RB Bragantino,1,1,Sao Paulo
2022,838014,Regular Season - 3,2022-04-23T22:00:00+00:00,FT,Palmeiras,3,0,Corinthians
2022,838012,Regular Season - 3,2022-04-23T22:00:00+00:00,FT,Fluminense,0,1,Internacional
2022,838011,Regular Season - 3,2022-04-24T00:00:00+00:00,FT,Atletico-MG,2,2,Coritiba
2022,838015,Regular Season - 3,2022-04-24T19:00:00+00:00,FT,Santos,3,0,America Mineiro
2022,838016,Regular Season - 3,2022-04-24T21:00:00+00:00,FT,Juventude,0,1,Cuiaba
2022,838018,Regular Season - 3,2022-04-24T21:30:00+00:00,FT,Atletico Goianiense,1,1,Botafogo
2022,838019,Regular Season - 3,2022-04-25T23:00:00+00:00,FT,Avai,3,2,Goias
2022,838021,Regular Season - 4,2022-04-30T19:30:00+00:00,FT,America Mineiro,1,0,Atletico Paranaense
2022,838027,Regular Season - 4,2022-04-30T19:30:00+00:00,FT,Ceara,0,1,RB Bragantino
2022,838028,Regular Season - 4,2022-04-30T21:30:00+00:00,FT,Goias,2,2,Atletico-MG
2022,838029,Regular Season - 4,2022-04-30T22:00:00+00:00,FT,Cuiaba,1,1,Atletico Goianiense
2022,838025,Regular Season - 4,2022-05-01T14:00:00+00:00,FT,Botafogo,1,1,Juventude
2022,838024,Regular Season - 4,2022-05-01T19:00:00+00:00,FT,Corinthians,1,0,Fortaleza EC
2022,838030,Regular Season - 4,2022-05-01T19:00:00+00:00,FT,Coritiba,3,2,Fluminense
2022,838026,Regular Season - 4,2022-05-01T22:00:00+00:00,FT,Internacional,0,0,Avai
2022,838023,Regular Season - 4,2022-05-02T23:00:00+00:00,FT,Sao Paulo,2,1,Santos
2022,838031,Regular Season - 5,2022-05-07T19:30:00+00:00,FT,Atletico-MG,1,2,America Mineiro
2022,838040,Regular Season - 5,2022-05-07T23:30:00+00:00,FT,Atletico Paranaense,1,0,Ceara
2022,838032,Regular Season - 5,2022-05-08T14:00:00+00:00,FT,Flamengo,0,1,Botafogo
2022,838034,Regular Season - 5,2022-05-08T19:00:00+00:00,FT,Palmeiras,1,1,Fluminense
2022,838038,Regular Season - 5,2022-05-08T19:00:00+00:00,FT,Atletico Goianiense,0,1,Goias
